,returncode,start_time,time_sec,rt_seg_ratio,total_t_time,rt_dur_ratio,max_cpu,max_gpu,max_ram,max_vram,avg_cpu,avg_gpu,avg_ram,avg_vram,sess_count,detect_freq,detect_sample_rate
50,0,1631871257.9753697,81.16,1.0,17.772221392000002,0.05924,326.7,65,3747358965.76,4651614208,143.38823529411764,17.215686274509803,3471475415.0214405,1370999017.3164556,5,5,10
51,0,1631871339.1591253,81.03,1.0,17.338234733000004,0.05779,306.7,43,3753801416.704,4651614208,178.79230769230767,14.12,3477789023.7465606,1371590085.670886,5,5,15
52,0,1631871420.2103517,81.08,1.0,17.109910809000006,0.05703,293.3,47,3759170125.824,4651614208,101.125,17.16,3478862772.2105603,1369497496.3037975,5,5,20
53,0,1631871501.3052526,81.04,1.0,17.07957346600001,0.05693,333.3,45,3745211482.112,4651614208,154.64666666666662,15.0,3467416682.44672,1369705303.493671,5,5,24
54,0,1631871582.35969,81.32,0.9933,32.87500497599999,0.1096,418.8,92,3759170125.824,4651614208,206.2111111111111,25.901960784313726,3508433627.4835205,1382231389.9746835,5,10,1
55,0,1631871663.7008336,81.09,1.0,18.425686647000006,0.06142,360.0,69,3754875158.528,4651614208,148.62941176470588,19.46,3478540629.423361,1371934771.8481014,5,10,5
56,0,1631871744.8141463,81.07,1.0,17.417963668000002,0.05806,293.3,54,3760243867.648,4651614208,149.16875,14.372549019607844,3482255786.0544004,1372177420.9620254,5,10,10
57,0,1631871825.9068778,81.11,1.0,16.782580921000005,0.05594,300.0,62,3750580191.232,4651614208,154.38,14.46,3471840503.801599,1369850892.9620254,5,10,15
58,0,1631871907.0366988,81.05,1.0,16.45426091799999,0.05485,286.7,64,3744137740.288,4651614208,161.97142857142853,16.38,3470466106.5868797,1371348266.1265824,5,10,20
59,0,1631871988.1104743,81.03,1.0,16.701932942,0.05567,280.0,45,3743063998.464,4651614208,106.34999999999995,13.431372549019608,3464582008.83136,1370678388.658228,5,10,24
60,0,1631872069.1582608,81.34,0.98,28.4829426,0.09494,473.3,90,3763465093.12,4651614208,154.608,30.183673469387756,3509872416.4876795,1381576029.9746835,5,15,1
61,0,1631872150.5129528,81.08,1.0,17.788884830000004,0.0593,326.7,68,3768833802.24,4651614208,141.62352941176474,18.24,3489406936.28224,1371442422.278481,5,15,5
